bookId,first_genre,clean_date,day_of_week,month_name,year,books
2767052-the-hunger-games,Young Adult,14/09/2008,Sunday,September,2008,1
2.Harry_Potter_and_the_Order_of_the_Phoenix,Fantasy,21/06/2003,Saturday,June,2003,1
41865.Twilight,Young Adult,05/10/2005,Wednesday,October,2005,1
19063.The_Book_Thief,Historical Fiction,01/09/2005,Thursday,September,2005,1
170448.Animal_Farm,Classics,17/08/1945,Friday,August,1945,1
30.J_R_R_Tolkien_4_Book_Boxed_Set,Fantasy,20/10/1955,Thursday,October,1955,1
18405.Gone_with_the_Wind,Classics,30/06/1936,Tuesday,June,1936,1
370493.The_Giving_Tree,Childrens,28/10/1964,Wednesday,October,1964,1
6185.Wuthering_Heights,Classics,28/12/1947,Sunday,December,1947,1
929.Memoirs_of_a_Geisha,Fiction,23/09/1997,Tuesday,September,1997,1
24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,Classics,28/10/1971,Thursday,October,1971,1
10210.Jane_Eyre,Classics,16/10/1947,Thursday,October,1947,1
13079982-fahrenheit-451,Classics,19/10/1953,Monday,October,1953,1
13335037-divergent,Young Adult,25/04/2011,Monday,April,2011,1
7624.Lord_of_the_Flies,Classics,17/09/1954,Friday,September,1954,1
18135.Romeo_and_Juliet,Classics,28/10/1995,Saturday,October,1995,1
18144590-the-alchemist,Fiction,28/10/1988,Friday,October,1988,1
7144.Crime_and_Punishment,Classics,28/10/1966,Friday,October,1966,1
256683.City_of_Bones,Fantasy,27/03/2007,Tuesday,March,2007,1
375802.Ender_s_Game,Science Fiction,28/10/1985,Monday,October,1985,1
8127.Anne_of_Green_Gables,Classics,28/10/2008,Tuesday,October,2008,1
24178.Charlotte_s_Web,Classics,15/10/1952,Wednesday,October,1952,1
890.Of_Mice_and_Men,Classics,28/10/1937,Thursday,October,1937,1
18619684-the-time-traveler-s-wife,Fiction,05/07/2003,Saturday,July,2003,1
17245.Dracula,Classics,26/05/1997,Monday,May,1997,1
5129.Brave_New_World,Classics,28/10/1932,Friday,October,1932,1
5107.The_Catcher_in_the_Rye,Classics,16/07/1951,Monday,July,1951,1
21787.The_Princess_Bride,Fantasy,01/09/1973,Saturday,September,1973,1
28187.The_Lightning_Thief,Fantasy,28/06/2005,Tuesday,June,2005,1
2998.The_Secret_Garden,Classics,28/10/2010,Thursday,October,2010,1
128029.A_Thousand_Splendid_Suns,Fiction,22/05/2007,Tuesday,May,2007,1
33574273-a-wrinkle-in-time,Fantasy,28/10/1962,Sunday,October,1962,1
13496.A_Game_of_Thrones,Fantasy,06/08/1996,Tuesday,August,1996,1
2956.The_Adventures_of_Huckleberry_Finn,Classics,01/12/1984,Saturday,December,1984,1
12232938-the-lovely-bones,Fiction,03/07/2002,Wednesday,July,2002,1
19543.Where_the_Wild_Things_Are,Childrens,19/04/1963,Friday,April,1963,1
23772.Green_Eggs_and_Ham,Childrens,28/06/1960,Tuesday,June,1960,1
1381.The_Odyssey,Classics,28/10/2000,Saturday,October,2000,1
4214.Life_of_Pi,Fiction,11/09/2001,Tuesday,September,2001,1
1953.A_Tale_of_Two_Cities,Classics,26/11/1959,Thursday,November,1959,1
43641.Water_for_Elephants,Fiction,28/05/2006,Sunday,May,2006,1
7604.Lolita,Classics,28/09/1955,Wednesday,September,1955,1
4981.Slaughterhouse_Five,Classics,28/10/1969,Tuesday,October,1969,1
35031085-frankenstein,Classics,28/10/2018,Sunday,October,2018,1
3636.The_Giver,Young Adult,26/04/1993,Monday,April,1993,1
